Variable,Label
DP02_0149PEA,Annotation of Percent!!ANCESTRY!!Total population!!Ukrainian
DP02_0019PMA,Annotation of Percent Margin of Error!!RELATIONSHIP!!Population in households!!Householder
DP02_0045MA,Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren
DP02_0058PE,Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
DP02_0081PEA,Annotation of Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)
DP02_0056E,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)
DP02_0093PEA,"Annotation of Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
DP02_0055E,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten
DP02_0121PE,"Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well"""
DP02_0020PMA,Annotation of Percent Margin of Error!!RELATIONSHIP!!Population in households!!Spouse
DP02_0063EA,"Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
DP02_0054E,"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
DP02_0150PEA,Annotation of Percent!!ANCESTRY!!Total population!!Welsh
DP02_0056PMA,Annotation of Percent Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)
DP02_0053E,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school
DP02_0032EA,Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0134MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Greek
DP02_0147PE,Percent!!ANCESTRY!!Total population!!Swedish
DP02_0001MA,Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households
DP02_0089EA,Annotation of Estimate!!PLACE OF BIRTH!!Total population!!Native
DP02_0068PEA,Annotation of Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
DP02_0052E,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married
DP02_0014PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
DP02_0121MA,"Annotation of Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well"""
DP02_0134PE,Percent!!ANCESTRY!!Total population!!Greek
DP02_0044PMA,Annotation of Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years
DP02_0058MA,Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
DP02_0051E,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female
DP02_0137PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Italian
DP02_0152EA,Annotation of Estimate!!COMPUTERS AND INTERNET USE!!Total households
DP02_0050E,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years
DP02_0037PEA,Annotation of Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months
DP02_0152PE,Percent!!COMPUTERS AND INTERNET USE!!Total households
DP02_0076MA,Annotation of Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability
DP02_0089PE,Percent!!PLACE OF BIRTH!!Total population!!Native
DP02_0103PMA,Annotation of Percent Margin of Error!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later
DP02_0117EA,"Annotation of Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well"""
DP02_0152PEA,Annotation of Percent!!COMPUTERS AND INTERNET USE!!Total households
DP02_0039E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women"
DP02_0094EA,Annotation of Estimate!!PLACE OF BIRTH!!Total population!!Foreign born
DP02_0104EA,Annotation of Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010
DP02_0025PEA,Annotation of Percent!!MARITAL STATUS!!Males 15 years and over
DP02_0038E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
DP02_0063MA,"Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
DP02_0076PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability
DP02_0062PEA,Annotation of Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
DP02_0127PEA,Annotation of Percent!!ANCESTRY!!Total population!!Czech
DP02_0045PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren
DP02_0032MA,Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0037E,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months
DP02_0139PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Norwegian
DP02_0050PEA,Annotation of Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years
DP02_0001PMA,Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households
DP02_0036E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced
DP02_0089MA,Annotation of Margin of Error!!PLACE OF BIRTH!!Total population!!Native
DP02_0140PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Polish
DP02_0050EA,Annotation of Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years
DP02_0115PEA,"Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well"""
DP02_0035E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed
DP02_0152MA,Annotation of Margin of Error!!COMPUTERS AND INTERNET USE!!Total households
DP02_0013PMA,"Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
DP02_0032PE,Percent!!MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0049PEA,Annotation of Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years
DP02_0034E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated
DP02_0015EA,Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
DP02_0098PEA,Annotation of Percent!!YEAR OF ENTRY!!Population born outside the United States
DP02_0037PMA,Annotation of Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months
DP02_0117MA,"Annotation of Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well"""
DP02_0103PEA,Annotation of Percent!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later
DP02_0152PMA,Annotation of Percent Margin of Error!!COMPUTERS AND INTERNET USE!!Total households
DP02_0050PE,Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years
DP02_0117PE,"Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well"""
DP02_0104MA,Annotation of Margin of Error!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010
DP02_0025PMA,Annotation of Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over
DP02_0094MA,Annotation of Margin of Error!!PLACE OF BIRTH!!Total population!!Foreign born
DP02_0135EA,Annotation of Estimate!!ANCESTRY!!Total population!!Hungarian
DP02_0002EA,Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household
DP02_0062PMA,Annotation of Percent Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
DP02_0028EA,Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0074PEA,Annotation of Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability
DP02_0081EA,Annotation of Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)
DP02_0148EA,Annotation of Estimate!!ANCESTRY!!Total population!!Swiss
DP02_0050PMA,Annotation of Percent Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years
DP02_0050MA,Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years
DP02_0063PE,"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
DP02_0086PEA,Annotation of Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state
DP02_0049PMA,Annotation of Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years
DP02_0089PEA,Annotation of Percent!!PLACE OF BIRTH!!Total population!!Native
DP02_0028PE,Percent!!MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0015MA,Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
DP02_0033EA,"Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
DP02_0028PMA,Annotation of Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0090PEA,Annotation of Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in United States
DP02_0135MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Hungarian
DP02_0148PE,Percent!!ANCESTRY!!Total population!!Swiss
DP02_0002MA,Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household
DP02_0015PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
DP02_0081MA,Annotation of Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)
DP02_0059EA,Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
DP02_0122EA,Annotation of Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages
DP02_0136PEA,Annotation of Percent!!ANCESTRY!!Total population!!Irish
DP02_0065PEA,Annotation of Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
DP02_0053PMA,Annotation of Percent Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school
NAME,Geographic Area Name
DP02_0094PE,Percent!!PLACE OF BIRTH!!Total population!!Foreign born
DP02_0118PMA,Annotation of Percent Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages
DP02_0028MA,Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0148MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Swiss
DP02_0148PEA,Annotation of Percent!!ANCESTRY!!Total population!!Swiss
DP02_0077PEA,Annotation of Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over
DP02_0081PE,Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)
DP02_0106PMA,"Annotation of Percent Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe"
DP02_0104PE,Percent!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010
DP02_0041PMA,"Annotation of Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
DP02_0046EA,Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year
DP02_0089PMA,Annotation of Percent Margin of Error!!PLACE OF BIRTH!!Total population!!Native
DP02_0090PMA,Annotation of Percent Margin of Error!!PLACE OF BIRTH!!Total population!!Native!!Born in United States
DP02_0045E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren
DP02_0122PE,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages
DP02_0064EA,Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
DP02_0044E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years
DP02_0033MA,"Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
DP02_0043E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
DP02_0046PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year
DP02_0042E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
DP02_0122MA,Annotation of Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages
DP02_0136PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Irish
DP02_0135PE,Percent!!ANCESTRY!!Total population!!Hungarian
DP02_0059MA,Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
DP02_0065PMA,Annotation of Percent Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
DP02_0041E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
DP02_0118PEA,Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages
DP02_0153EA,Annotation of Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a computer
DP02_0001PEA,Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households
DP02_0040E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old"
DP02_0020EA,Annotation of Estimate!!RELATIONSHIP!!Population in households!!Spouse
DP02_0140EA,Annotation of Estimate!!ANCESTRY!!Total population!!Polish
DP02_0077EA,Annotation of Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over
DP02_0148PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Swiss
DP02_0077PMA,Annotation of Percent Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over
DP02_0002PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household
DP02_0013PEA,"Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
DP02_0046MA,Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year
DP02_0059PE,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
DP02_0106PEA,"Annotation of Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe"
DP02_0029E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0020PE,Percent!!RELATIONSHIP!!Population in households!!Spouse
DP02_0095EA,Annotation of Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population
DP02_0046PMA,Annotation of Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year
DP02_0105EA,"Annotation of Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea"
DP02_0028E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0095PEA,Annotation of Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population
DP02_0064MA,Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
DP02_0077PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over
DP02_0027E,"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
DP02_0029EA,Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0140PE,Percent!!ANCESTRY!!Total population!!Polish
DP02_0034PMA,Annotation of Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Separated
DP02_0026E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married
DP02_0082EA,Annotation of Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.
DP02_0051EA,Annotation of Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female
DP02_0025E,Estimate!!MARITAL STATUS!!Males 15 years and over
DP02_0153MA,Annotation of Margin of Error!!COMPUTERS AND INTERNET USE!!Total households!!With a computer
DP02_0124PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population
DP02_0071PEA,Annotation of Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population
DP02_0033PE,"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
DP02_0020MA,Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Spouse
DP02_0131PEA,Annotation of Percent!!ANCESTRY!!Total population!!French (except Basque)
DP02_0024E,Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives
DP02_0153PE,Percent!!COMPUTERS AND INTERNET USE!!Total households!!With a computer
DP02_0058PMA,Annotation of Percent Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
DP02_0140MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Polish
DP02_0077MA,Annotation of Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over
DP02_0023E,Estimate!!RELATIONSHIP!!Population in households!!Other relatives
DP02_0143PEA,Annotation of Percent!!ANCESTRY!!Total population!!Scotch-Irish
DP02_0118EA,Annotation of Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages
DP02_0022E,Estimate!!RELATIONSHIP!!Population in households!!Child
DP02_0083PEA,Annotation of Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county
DP02_0112PMA,Annotation of Percent Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over
DP02_0118PE,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages
DP02_0100PMA,Annotation of Percent Margin of Error!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later
DP02_0105MA,"Annotation of Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea"
DP02_0095MA,Annotation of Margin of Error!!U.S. CITIZENSHIP STATUS!!Foreign-born population
DP02_0003EA,Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years
DP02_0136EA,Annotation of Estimate!!ANCESTRY!!Total population!!Irish
DP02_0095PMA,Annotation of Percent Margin of Error!!U.S. CITIZENSHIP STATUS!!Foreign-born population
DP02_0082MA,Annotation of Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.
DP02_0123EA,"Annotation of Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well"""
DP02_0006PEA,"Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
DP02_0095PE,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population
DP02_0029MA,Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0018PEA,Annotation of Percent!!RELATIONSHIP!!Population in households
DP02_0149EA,Annotation of Estimate!!ANCESTRY!!Total population!!Ukrainian
DP02_0071PMA,Annotation of Percent Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population
DP02_0051MA,Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female
DP02_0064PE,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
DP02_0124PEA,Annotation of Percent!!ANCESTRY!!Total population
DP02_0131PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!French (except Basque)
DP02_0083PMA,Annotation of Percent Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county
DP02_0016EA,Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size
DP02_0118MA,Annotation of Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages
DP02_0143PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Scotch-Irish
DP02_0112PEA,Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over
DP02_0051PE,Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female
DP02_0100PEA,Annotation of Percent!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later
DP02_0034EA,Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated
DP02_0098PMA,Annotation of Percent Margin of Error!!YEAR OF ENTRY!!Population born outside the United States
DP02_0149PE,Percent!!ANCESTRY!!Total population!!Ukrainian
DP02_0136MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Irish
DP02_0016PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size
DP02_0003MA,Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years
DP02_0123MA,"Annotation of Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well"""
DP02_0136PE,Percent!!ANCESTRY!!Total population!!Irish
DP02_0154EA,Annotation of Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
DP02_0021EA,Annotation of Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner
DP02_0010PEA,"Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
DP02_0149MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Ukrainian
DP02_0047EA,Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years
DP02_0105PE,"Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea"
DP02_0074PMA,Annotation of Percent Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability
DP02_0022PEA,Annotation of Percent!!RELATIONSHIP!!Population in households!!Child
DP02_0009PEA,"Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
DP02_0082PE,Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.
DP02_0029PE,Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0016MA,Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size
DP02_0086PMA,Annotation of Percent Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state
DP02_0110EA,"Annotation of Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America"
DP02_0110PE,"Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America"
DP02_0034MA,Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Separated
DP02_0033E,"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
DP02_0046PEA,Annotation of Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year
DP02_0047PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years
DP02_0032E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0052EA,Annotation of Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married
DP02_0031E,Estimate!!MARITAL STATUS!!Females 15 years and over
DP02_0154MA,Annotation of Margin of Error!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
DP02_0034PEA,Annotation of Percent!!MARITAL STATUS!!Females 15 years and over!!Separated
DP02_0034PE,Percent!!MARITAL STATUS!!Females 15 years and over!!Separated
DP02_0021MA,Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Unmarried partner
DP02_0030E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0010PMA,"Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
DP02_0141EA,Annotation of Estimate!!ANCESTRY!!Total population!!Portuguese
DP02_0127PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Czech
DP02_0078EA,Annotation of Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
DP02_0003PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years
DP02_0009PMA,"Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
DP02_0022PMA,Annotation of Percent Margin of Error!!RELATIONSHIP!!Population in households!!Child
DP02_0139PEA,Annotation of Percent!!ANCESTRY!!Total population!!Norwegian
DP02_0047MA,Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years
DP02_0115PMA,"Annotation of Percent Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well"""
DP02_0140PEA,Annotation of Percent!!ANCESTRY!!Total population!!Polish
DP02_0058PEA,Annotation of Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
DP02_0110MA,"Annotation of Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America"
DP02_0123PE,"Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well"""
DP02_0065EA,Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
DP02_0017E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size
DP02_0117PEA,"Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well"""
DP02_0141PE,Percent!!ANCESTRY!!Total population!!Portuguese
